Street_ID,Base_Street_ID,Alias Type,Pre Dir,Street Name,Type,Suffix,FULLNAME,Tiered?,Min Address,Max Address,Chicago Coord,Chicago Coord Dir
2683,131,911,E,FRANNY S,PL,,E FRANNY S PL,,1500,1530
2728,131,911,,FRANNYS,PL,,FRANNYS PL,,1500,1530
3265,131,ALIAS,E,52,PL,,E 52 PL,,1500,1517,5232,S
3812,131,HONORARY,E,FRANNY'S,PL,,E FRANNY'S PL,,1500,1517,5232,S
3266,132,ALIAS,E,52,ST,,E 52 ST,,100,1599,5200,S
3267,133,ALIAS,E,53,DR,,E 53 DR,,1749,1799,5300,S
3268,134,ALIAS,E,53,ST,,E 53 ST,,1,1748,5300,S
3269,135,ALIAS,E,54,PL,,E 54 PL,,342,1625,5432,S
3270,136,ALIAS,E,54,ST,,E 54 ST,,1,1799,5400,S
3271,137,ALIAS,E,55,DR,,E 55 DR,,732,1899,5500,S
3272,138,ALIAS,E,55,PL,,E 55 PL,,200,1499,5532,S
3273,139,ALIAS,E,55,ST,,E 55 ST,,0,1799,5500,S
3274,139,ALIAS,E,55(N),ST,,E 55(N) ST,,900,1122,5500,S
3275,140,ALIAS,E,56,ST,,E 56 ST,,1,1799,5600,S
3277,141,ALIAS,E,57,DR,,E 57 DR,,700,1799,5700,S
3276,142,ALIAS,E,57,BLVD,,E 57 BLVD,,1524,1599,5700,S
4353,142,NAMING_CONV,E,57TH,BLVD,,E 57TH BLVD,,1524,1599
3279,143,ALIAS,E,58,ST,,E 58 ST,,1,1429,5800,S
2695,144,911,E,LORAINE R GREEN,DR,,E LORAINE R GREEN DR,,1520,1600
3278,144,ALIAS,E,57,ST,,E 57 ST,,1,1529,5700,S
3280,144,ALIAS,E,59,ST,,E 59 ST,,1,1599,5900,S
3841,144,HONORARY,E,REV L W CRAIG,ST,,E REV L W CRAIG ST,,1,34,5900,S
3281,145,ALIAS,E,60,ST,,E 60 ST,,1,1599,6000,S
3282,146,ALIAS,E,61,PL,,E 61 PL,,814,1499,6132,S
3283,147,ALIAS,E,61,ST,,E 61 ST,,1,1599,6130,S
3284,148,ALIAS,E,62,PL,,E 62 PL,,1400,1419,6232,S
3285,149,ALIAS,E,62,ST,,E 62 ST,,400,1599,6200,S
3828,149,HONORARY,E,MOTHER YORK,DR,,E MOTHER YORK DR,,1200,1377,6200,S
3286,150,ALIAS,E,63,PL,,E 63 PL,,834,1431,6332,S
3287,151,ALIAS,E,63,ST,,E 63 ST,,1,1599,6300,S
3288,152,ALIAS,E,64,PL,,E 64 PL,,830,899,6432,S
3289,153,ALIAS,E,64,ST,,E 64 ST,,400,1599,6400,S
3290,154,ALIAS,E,65,PL,,E 65 PL,,1400,1599,6532,S
3291,155,ALIAS,E,65,ST,,E 65 ST,,400,1599,6500,S
3800,155,HONORARY,E,COSMOPOLITAN CHURCH OF PRAYER,DR,,E COSMOPOLITAN CHURCH OF PRAYER DR,,800,899,6500,S
3292,156,ALIAS,E,66,PL,,E 66 PL,,1,1599,6632,S
3293,157,ALIAS,E,66,ST,,E 66 ST,,1,499,6600,S
3294,158,ALIAS,E,67,PL,,E 67 PL,,1400,1559,6732,S
3295,159,ALIAS,E,67,ST,,E 67 ST,,500,2399,6700,S
3296,160,ALIAS,E,68,ST,,E 68 ST,,1,2399,6800,S
3839,160,HONORARY,E,REV EDDIE H GARDNER,ST,,E REV EDDIE H GARDNER ST,,600,625,6800,S
3297,161,ALIAS,E,69,PL,,E 69 PL,,200,1599,6932,S
3298,162,ALIAS,E,69,ST,,E 69 ST,,1,2399,6900,S
3299,163,ALIAS,E,70,PL,,E 70 PL,,342,2399,7032,S
3300,164,ALIAS,E,70,ST,,E 70 ST,,1,2399,7000,S
3301,165,ALIAS,E,71,PL,,E 71 PL,,1200,1999,7132,S
3302,166,ALIAS,E,71,ST,,E 71 ST,,0,2599,7100,S
3367,166,ALIAS,E,EMMETT TILL,DR,,E EMMETT TILL DR,,1,2599,7100,S
3809,166,HONORARY,E,EMMETT TILL,RD,,E EMMETT TILL RD,,2440,2499,7100,S
3303,167,ALIAS,E,72,PL,,E 72 PL,,1200,2599,7232,S
3304,168,ALIAS,E,72,ST,,E 72 ST,,1,2599,7200,S
3840,168,HONORARY,E,REV GILBERT O LEIGH,DR,,E REV GILBERT O LEIGH DR,,930,955,7200,S
3305,169,ALIAS,E,73,PL,,E 73 PL,,1500,2523,7332,S
3306,170,ALIAS,E,73,ST,,E 73 ST,,1,2699,7300,S
3307,171,ALIAS,E,74,PL,,E 74 PL,,1500,2641,7432,S
2929,172,911,,REV GEORGE BLACKWELL,DR,,REV GEORGE BLACKWELL DR,,700,800
3308,172,ALIAS,E,74,ST,,E 74 ST,,1,2731,7400,S
3837,172,HONORARY,E,REV DR GEORGE L BLACKWELL,DR,,E REV DR GEORGE L BLACKWELL DR,,700,725,7400,S
3309,173,ALIAS,E,75,PL,,E 75 PL,,1030,2739,7532,S
3720,174,ALIAS,W,75,ST,,W 75 ST,,0,3599,7500,S
3797,174,HONORARY,E,CAPTAIN L. BRATTON,WAY,,E CAPTAIN L. BRATTON  WAY,,200,235,7500,S
3836,174,HONORARY,E,REV ARTHUR WOODS,DR,,E REV ARTHUR WOODS DR,,1200,1209,7500,S
3311,175,ALIAS,E,76,PL,,E 76 PL,,1101,2841,7632,S
3312,176,ALIAS,E,76,ST,,E 76 ST,,1,2899,7600,S
3847,176,HONORARY,E,REV WILLIE T BARROW,ST,,E REV WILLIE T BARROW ST,,1600,1623,7600,S
3313,177,ALIAS,E,77,PL,,E 77 PL,,2800,2841,7732,S
3314,178,ALIAS,E,77,ST,,E 77 ST,,2,2999,7700,S
3845,178,HONORARY,E,REV STEPHEN JOHN THURSTON,ST,,E REV STEPHEN JOHN THURSTON ST,,732,757,7700,S
3315,179,ALIAS,E,78,PL,,E 78 PL,,2900,2941,7832,S
2682,180,911,E,FR MICHAELJ NALLEN,DR,,E FR MICHAELJ NALLEN DR,,440,500
2726,180,911,,FR MICHAEL MALLEN,DR,,FR MICHAEL MALLEN DR,,344,500
3316,180,ALIAS,E,78,ST,,E 78 ST,,1,3099,7800,S
