Street_ID,Base_Street_ID,Alias Type,Pre Dir,Street Name,Type,Suffix,FULLNAME,Tiered?,Min Address,Max Address,Chicago Coord,Chicago Coord Dir
241,0,,E,BOWEN,DR,,E BOWEN DR,,732,899,5112,S
242,0,,E,BOWLING GREEN,DR,,E BOWLING GREEN DR,,1800,1899,0
243,0,,E,BRAYTON,ST,,E BRAYTON ST,,1,99,12562,S
244,0,,E,BROWNING,AVE,,E BROWNING AVE,,500,599,3548,S
245,0,,E,BURTON,PL,,E BURTON PL,,1,99,1500,N
246,0,,E,CARVER,PLZ,,E CARVER PLZ,,1,115,3718,S
247,0,,E,CEDAR,ST,,E CEDAR ST,,1,99,1120,N
248,0,,E,CERMAK,RD,,E CERMAK RD,,1,499,2200,S
249,0,,E,CHELTENHAM,DR,,E CHELTENHAM DR,,3300,3499,0
250,0,,E,CHELTENHAM,PL,,E CHELTENHAM PL,,3000,3199,7878,S
251,0,,E,CHESTNUT,ST,,E CHESTNUT ST,,1,299,860,N
252,0,,E,CHICAGO,AVE,,E CHICAGO AVE,,1,399,800,N
253,0,,E,CHICAGO RIVER,,,E CHICAGO RIVER,,1,730,0
254,0,,E,CONGRESS,DR,,E CONGRESS DR,,100,299,500,S
255,0,,E,CONGRESS,PKWY,,E CONGRESS PKWY,,1,99,500,S
256,0,,E,CTA BUS,LN,,E CTA BUS LN,,600,699,0
257,0,,E,CULLERTON,ST,,E CULLERTON ST,,1,399,2000,S
258,0,,E,DELAWARE,PL,,E DELAWARE PL,,1,299,900,N
259,0,,E,DIVISION,ST,,E DIVISION ST,,1,99,1200,N
260,0,,E,DREXEL SQUARE,DR,,E DREXEL SQUARE DR,,800,899,5130,S
261,0,,E,EASTGATE,PL,,E EASTGATE PL,,332,399,2520,S
262,0,,E,ELM,ST,,E ELM ST,,1,99,1142,N
263,0,,E,ERIE,ST,,E ERIE ST,,1,499,658,N
264,0,,E,EVANS,CT,,E EVANS CT,,100,121,740,N
265,0,,E,FIELD PLAZA,DR,,E FIELD PLAZA DR,,400,500,0
266,0,,E,FOREMAN,DR,,E FOREMAN DR,,3730,3999,9500,S
267,0,,E,GARFIELD,BLVD,,E GARFIELD BLVD,,0,499,5500,S
268,0,,E,GOETHE,ST,,E GOETHE ST,,1,99,1300,N
269,0,,E,GRAND,AVE,,E GRAND AVE,,0,999,0
270,0,,E,GROVELAND PARK,,,E GROVELAND PARK,,600,699,3344,S
271,0,,E,HADDOCK,PL,,E HADDOCK PL,,1,99,220,N
272,0,,E,HARRISON,ST,,E HARRISON ST,,1,99,600,S
273,0,,E,HAYES,DR,,E HAYES DR,,0,2159,6300,S
274,0,,E,HUBBARD LOWER,ST,,E HUBBARD LOWER ST,,122,259,430,N
275,0,,E,HUBBARD,ST,,E HUBBARD ST,,1,121,430,N
276,0,,E,HURON,ST,,E HURON ST,,1,499,700,N
277,0,,E,HYDE PARK,BLVD,,E HYDE PARK BLVD,,800,1699,5100,S
278,0,,E,I57 BISHOP FORD EXPY,XR,,E I57 BISHOP FORD EXPY XR,,1,99,0
279,0,,E,I57 EXPY,XR,,E I57 EXPY XR,,1,399,0
280,0,,E,ILLINOIS LOWER,ST,,E ILLINOIS LOWER ST,,136,229,500,N
281,0,,E,ILLINOIS,ST,,E ILLINOIS ST,,1,599,500,N
282,0,,E,JACKSON,BLVD,,E JACKSON BLVD,,1,99,300,S
283,0,,E,JACKSON,DR,,E JACKSON DR,,100,399,300,S
284,0,,E,KENSINGTON,AVE,,E KENSINGTON AVE,,100,820,11552,S
285,0,,E,KINZIE,ST,,E KINZIE ST,,1,99,400,N
286,0,,E,LA SALLE,DR,,E LA SALLE DR,,1,199,140,N
287,0,,E,LAKE SHORE,DR,,E LAKE SHORE DR,,140,299,1000,N
288,0,,E,LAKE,ST,,E LAKE ST,,1,199,200,N
289,0,,E,LITTLE CALUMET RIVER,,,E LITTLE CALUMET RIVER,,100,1499,0
290,0,,E,LSD LSD WACKER DR,XR,,E LSD LSD WACKER DR XR,,500,599,0
291,0,,E,LSD NB STEVENSON OB,ER,,E LSD NB STEVENSON OB ER,,500,577,0
292,0,,E,MADISON AVENUE PARK,,,E MADISON AVENUE PARK,,0,1399,5038,S
293,0,,E,MADISON,ST,,E MADISON ST,,1,99,0
294,0,,E,MARQUETTE,DR,,E MARQUETTE DR,,0,2399,6600,S
295,0,,E,MARQUETTE,RD,,E MARQUETTE RD,,1,1599,6700,S
296,0,,E,MC FETRIDGE,SD,,E MC FETRIDGE SD,,0,499,0
297,0,,E,MCFETRIDGE,DR,,E MCFETRIDGE DR,,329,539,1326,S
298,0,,E,MCFETRIDGE,DR,N,E MCFETRIDGE DR N,,0,442
299,0,,E,MCFETRIDGE,DR,S,E MCFETRIDGE DR S,,0,499
300,0,,E,MIDWAY PLAISANCE,,,E MIDWAY PLAISANCE,,0,1645,5900,S
